CODIGO,NOMBRE,LABORATORIO / TITULAR EN ESPAÑA,TIPO LEGAL,CATEGORIA PRINCIPAL,SUBCATEGORIA DETALLADA,ATC,PVP OFICIAL ESPAÑA (€),PRECIO MEDIO FARMACIA ONLINE ESPAÑA (€)
730492,CINFATOS 15MG 20COM BUC,Laboratorios Cinfa S.A.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,R05D,PENDIENTE VERIFICACION,SEGÚN PVP
751636,CINFATOS 20 PASTILLAS,Laboratorios Cinfa S.A.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,R05D,PENDIENTE VERIFICACION,SEGÚN PVP
703377,CINFATOS EXPECTORANTE 18SOB,Laboratorios Cinfa S.A.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,R05F,PENDIENTE VERIFICACION,SEGÚN PVP
719053,CINFATOS EXPECTORANTE 200ML,Laboratorios Cinfa S.A.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,R05F,PENDIENTE VERIFICACION,SEGÚN PVP
718655,CINFATOS JARABE 200ML,Laboratorios Cinfa S.A.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,R05D,PENDIENTE VERIFICACION,SEGÚN PVP
693352,CINITAPRIDA NORMON 1MG 50COMP,Laboratorios Normon S.A.,Medicamento EFG,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,A03F,PENDIENTE VERIFICACION,SEGÚN PVP
213066,CINTA DENTAL LACER EX-SUAV MEN,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
211706,CINTA DENTAL ORAL B SATINTAPE,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
383976,CINTA DENTAL VITIS 50 M,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
178681,CINTA DENTAL VITIS FLUOR MENTA,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
695618,CIPROFLOX NORMON 250MG 14COM,Laboratorios Normon S.A.,Medicamento EFG,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,J01M,PENDIENTE VERIFICACION,SEGÚN PVP
695621,CIPROFLOX NORMON 500MG 14COM,Laboratorios Normon S.A.,Medicamento EFG,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,J01M,PENDIENTE VERIFICACION,SEGÚN PVP
695622,CIPROFLOX NORMON 750MG 14COM,Laboratorios Normon S.A.,Medicamento EFG,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,J01M,PENDIENTE VERIFICACION,SEGÚN PVP
694498,CIPROFLOXACINO TEVAGEN EFG 500 mg 14 COMPRIMIDOS RECUBIERTOS,Teva Pharma S.L.U.,Medicamento EFG,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,J01M,PENDIENTE VERIFICACION,SEGÚN PVP
683784,CIRCADIN 2 MG 30 COM,Rad Neurim Pharmaceuticals Eec S.A.R.L.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,N05C,PENDIENTE VERIFICACION,SEGÚN PVP
162965,CISTITUS 130 MG PAC 60 COMP,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
654396,CITALOPRAM CINFA 20 MG 28 COMP,Laboratorios Cinfa S.A.,Medicamento EFG,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,N06A,PENDIENTE VERIFICACION,SEGÚN PVP
654397,CITALOPRAM CINFA 20 MG 56 COMP,Laboratorios Cinfa S.A.,Medicamento EFG,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,N06A,PENDIENTE VERIFICACION,SEGÚN PVP
822403,CITALOPRAM MABO 10 MG 28 COMP,Mabo Farma S.A.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,N06A,PENDIENTE VERIFICACION,SEGÚN PVP
762837,CITALOPRAM NORMON 10MG 28COM,Laboratorios Normon S.A.,Medicamento EFG,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,N06A,PENDIENTE VERIFICACION,SEGÚN PVP
714987,CITALOPRAM NORMON 20MG 56CO,Laboratorios Normon S.A.,Medicamento EFG,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,N06A,PENDIENTE VERIFICACION,SEGÚN PVP
650472,CITALOPRAM RATIO 10MG 28COM,Teva Pharma S.L.U.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,N06A,PENDIENTE VERIFICACION,SEGÚN PVP
682434,CITARABINA ACCORD 100 mg/ml 1 VIAL SOLUCION INYECTABLE Y PARA PERFUSION 10 ml,Accord Healthcare S.L.U.,Medicamento hospitalario,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,L01B,PENDIENTE VERIFICACION,SEGÚN PVP
196196,CITE HIDRATANTE CORPORAL 200ML,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
246967,CITE PLUS HIDRAT CORPORAL 200,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
268250,CITE SOLAR CR FACIAL F 30 50ML,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
729674,CITICOLINA CINFA 1G 30SOB,Laboratorios Cinfa S.A.,Medicamento EFG,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,N06B,PENDIENTE VERIFICACION,SEGÚN PVP
733073,CITICOLINA NORMOGEN 1GR 30SOL,Laboratorios Normon S.A.,Medicamento EFG,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,N06B,PENDIENTE VERIFICACION,SEGÚN PVP
660393,CITRAFLEET POLVO 2 SOBR,Casen Recordati S.L.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,A06A,PENDIENTE VERIFICACION,SEGÚN PVP
762763,CITRAFLEET SOL ORAL 2 X 160 ML,Casen Recordati S.L.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,A06A,PENDIENTE VERIFICACION,SEGÚN PVP
184615,CKS BABYRUB 50GR,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
178063,CLARAC CARE CREMA DE MANOS ALOE VERA 1 TUBO 50 ml,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
180835,CLARAC CARE CREMA HIDRATANTE UREA 20% 1 TUBO 100 ml,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
763425,CLARITROMICINA NORMON 500 14CO,Laboratorios Normon S.A.,Medicamento EFG,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,J01F,PENDIENTE VERIFICACION,SEGÚN PVP
763532,CLARITROMICINA NORMON 500 21CO,Laboratorios Normon S.A.,Medicamento EFG,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,J01F,PENDIENTE VERIFICACION,SEGÚN PVP
650256,CLARITROMICINA SDZ25MGML100ML,Sandoz Farmaceutica S.A.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,J01F,PENDIENTE VERIFICACION,SEGÚN PVP
984088,CLAVERSAL 500 MG 100 COMP,Faes Farma S.A.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,A07E,PENDIENTE VERIFICACION,SEGÚN PVP
675520,CLAVERSAL ESPUMA RECTAL 14 G,Faes Farma S.A.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,A07E,PENDIENTE VERIFICACION,SEGÚN PVP
570017,CLAVUBAY SABOR 400/100 mg 20 COMPRIMIDOS PARA PERROS,PENDIENTE VERIFICACION,Medicamento veterinario,Veterinaria,Medicamento veterinario canino,NO APLICA (veterinario),NO REGULADO,PENDIENTE VERIFICACION
179682,CLEANANCE GEL LIMPIADOR 400ML,PENDIENTE VERIFICACION,Dermocosmética,Dermocosmética,Tratamiento acné,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
181030,CLEAR BLUE EARLY TEST EMBARAZO,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
198435,CLEARBLUE DETECC ULTRATEMPRANA,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
151492,CLEARBLUE DIGIT TEST EMBAR 1CT,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
151493,CLEARBLUE DIGIT TEST OVUL 10CT,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
156827,CLEARBLUE PLUS TEST EMBARAZO,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
217235,CLEARBLUE TEST EMBARA ANALO 2U,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
217234,CLEARBLUE TEST EMBARA DIGIT 2U,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
952481,CLEBORIL 0.5 MG 60 COMP,Almirall S.A.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,A03F,PENDIENTE VERIFICACION,SEGÚN PVP
953224,CLEBORIL SOLU 250 ML,Almirall S.A.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,A03F,PENDIENTE VERIFICACION,SEGÚN PVP
714093,CLENSIA 4 SOB56.3G+4SOB3.98G,Alfasigma Espana S.L.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,A06A,PENDIENTE VERIFICACION,SEGÚN PVP
671975,CLEXANE 40 MG 10 JGAS,Sanofi Aventis S.A.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,B01A,PENDIENTE VERIFICACION,SEGÚN PVP
671995,CLEXANE 40 MG 30 JGAS,Sanofi Aventis S.A.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,B01A,PENDIENTE VERIFICACION,SEGÚN PVP
671997,CLEXANE 60 MG 10 JGAS,Sanofi Aventis S.A.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,B01A,PENDIENTE VERIFICACION,SEGÚN PVP
672593,CLEXANE 60 MG 30 JGAS,Sanofi Aventis S.A.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,B01A,PENDIENTE VERIFICACION,SEGÚN PVP
177910,CLIMAFORT 30CAP,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
214260,CLIMAFORT CRONOMAG 60 CAPSULAS VEGETALES,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
191864,CLIMAFORT SUE�O 30CAP,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
670570,CLIMEN 21 GRAG,Bayer Hispania S.L.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,G03H,PENDIENTE VERIFICACION,SEGÚN PVP
904920,CLIMODIEN 22 MG 28 COMP,Bayer Hispania S.L.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,G03F,PENDIENTE VERIFICACION,SEGÚN PVP
939587,CLINADIL 45 CAPS,Laboratorio Stada S.L.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,C04A,PENDIENTE VERIFICACION,SEGÚN PVP
691691,CLINWAS GEL 30 G,Chiesi España S.A.U.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,D10A,PENDIENTE VERIFICACION,SEGÚN PVP
691709,CLINWAS SOLU 30 ML,Chiesi España S.A.U.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,D10A,PENDIENTE VERIFICACION,SEGÚN PVP
651086,CLIPPER 5 MG 30 COMP,Chiesi España S.A.U.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,A07E,PENDIENTE VERIFICACION,SEGÚN PVP
704888,CLOBISDIN 500MCGML SOLU 100ML,"ISDIN, S.A.",Dermocosmética,Dermocosmética,Dermocosmética general,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
570276,CLOMICALM 5 MG 30 COM,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
672498,CLOPERASTINA NORMON3.54MG120ML,Laboratorios Normon S.A.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,R05D,PENDIENTE VERIFICACION,SEGÚN PVP
672499,CLOPERASTINA NORMON3.54MG200ML,Laboratorios Normon S.A.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,R05D,PENDIENTE VERIFICACION,SEGÚN PVP
663283,CLOPIDOGREL CINFAMED 75MG 28CO,Laboratorios Cinfa S.A.,Medicamento EFG,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,B01A,PENDIENTE VERIFICACION,SEGÚN PVP
690037,CLOPIDOGREL CINFAMED 75MG 50CO,Laboratorios Cinfa S.A.,Medicamento EFG,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,B01A,PENDIENTE VERIFICACION,SEGÚN PVP
728668,CLOPIDOGREL NORMON 75MG 84COM,Laboratorios Normon S.A.,Medicamento EFG,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,B01A,PENDIENTE VERIFICACION,SEGÚN PVP
672422,CLOPIDOGREL NORMON 75MG28COM,Laboratorios Normon S.A.,Medicamento EFG,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,B01A,PENDIENTE VERIFICACION,SEGÚN PVP
713577,CLOPIDOGREL NORMON 75MG50COM,Laboratorios Normon S.A.,Medicamento EFG,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,B01A,PENDIENTE VERIFICACION,SEGÚN PVP
174287,CLORHEXIDINA APOSAN PULV 30 ML,"LABORATORIOS HERBITAS, S.L. (marca Aposan)",Parafarmacia,Desinfección,Parafarmacia general,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
198288,CLORHEXIDINA COLUTO 0.2% 500ML,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
247742,CLORHEXIDINA LACER SPRAY 30 ML,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
194227,CLORHEXIDINA SOL ACUOS 2%500ML,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
731515,CLORMETINIL STADA0.032MG21CO,Laboratorio Stada S.L.,Medicamento EFG,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,G03A,PENDIENTE VERIFICACION,SEGÚN PVP
656671,CLORURO MORFICO SERRA 1% 1 AMP,Laboratorios Serra Pamies S.A.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,N02A,PENDIENTE VERIFICACION,SEGÚN PVP
189690,CLORURO POTASICO SA 30 COM,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
700694,CLOTRIMAZOL CANESMED 10MG 30G,Bayer Hispania S.L.,Medicamento EFG,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,D01A,PENDIENTE VERIFICACION,SEGÚN PVP
700688,CLOTRIMAZOL GINE-CANE 100MG6CO,Bayer Hispania S.L.,Medicamento EFG,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,G01A,PENDIENTE VERIFICACION,SEGÚN PVP
700691,CLOTRIMAZOL GINE-CANE 20MG20G,Bayer Hispania S.L.,Medicamento EFG,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,G01A,PENDIENTE VERIFICACION,SEGÚN PVP
700689,CLOTRIMAZOL GINE-CANE 500MG1CO,Bayer Hispania S.L.,Medicamento EFG,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,G01A,PENDIENTE VERIFICACION,SEGÚN PVP
952036,CLOVATE 0.5 MG CR 30 G,Industrial Farmaceutica Cantabria S.A.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,D07A,PENDIENTE VERIFICACION,SEGÚN PVP
728934,CLOVATE 500 MCG CHAMPU 125 ML,Industrial Farmaceutica Cantabria S.A.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,D07A,PENDIENTE VERIFICACION,SEGÚN PVP
156795,CN BASE 60CAP,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
780643,CO-DIOVAN 16012.5 MG 28 COMP,Novartis Farmaceutica S.A.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,C09D,PENDIENTE VERIFICACION,SEGÚN PVP
661200,CO-DIOVAN 320MG12.5MG 28 COMP,Novartis Farmaceutica S.A.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,C09D,PENDIENTE VERIFICACION,SEGÚN PVP
657353,CO-DIOVAN 8012.5 MG 28 COMP,Novartis Farmaceutica S.A.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,C09D,PENDIENTE VERIFICACION,SEGÚN PVP
650389,CO-DIOVAN FORTE 16025MG 28 CO,Novartis Farmaceutica S.A.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,C09D,PENDIENTE VERIFICACION,SEGÚN PVP
661221,CO-DIOVAN FORTE 32025MG 28 CO,Novartis Farmaceutica S.A.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,C09D,PENDIENTE VERIFICACION,SEGÚN PVP
202539,COAGUCHEK XS 24 TIRAS,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
754234,COAPROVEL 30012.5MG 28 COMP,Sanofi Winthrop Industrie,Medicamento marca,Cardiovascular,ARA II,C09D,PENDIENTE VERIFICACION,SEGÚN PVP
669549,COD EFFERALGAN 20 COMP EFER,Upsa S.A.S.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,N02A,PENDIENTE VERIFICACION,SEGÚN PVP
796052,CODEISAN 20 COMP,Teva Pharma S.L.U.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,R05D,PENDIENTE VERIFICACION,SEGÚN PVP
210576,CODERA EPICONDILITIS FUTURO M,PENDIENTE VERIFICACION,Parafarmacia,Parafarmacia general,Parafarmacia general,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
442665,CODERA VENTUBEL T 2,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
151441,CODIGEL GEL HIDRAT INTIMO125ML,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
181020,COLAGENO MAGN FARLINE ACT 400g,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
703194,COLCHICINA SEID 0.5MG 20 COMP,Seid S.A.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,M04A,PENDIENTE VERIFICACION,SEGÚN PVP
654130,COLCHICINA SEID 1 MG 40 GRAN,Seid S.A.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,M04A,PENDIENTE VERIFICACION,SEGÚN PVP
182752,COLIGAS FAST 50 CAPSULAS,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
208232,COLILEN IBS 60 CAPS,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
186618,COLILEN IBS 96 CAPS,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
653445,COLIRCUSI DEXAM 0.1% 10ML,Fidia Farmaceutici S.P.A.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,S01B,PENDIENTE VERIFICACION,SEGÚN PVP
653437,COLIRCUSI FENILEFRINA 10% 10ML,M4 Pharma S.L.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,S01F,PENDIENTE VERIFICACION,SEGÚN PVP
672096,COLIRCUSI GENTADEXA 10ML,Ntc S.R.L.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,S03C,PENDIENTE VERIFICACION,SEGÚN PVP
653470,COLIRCUSI GENTAMIC 0.3% 10ML,Ntc S.R.L.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,S01A,PENDIENTE VERIFICACION,SEGÚN PVP
654826,COLIROFTA ATROPINA 0.5 % 10ML,Alcon Healthcare S.A.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,S01F,PENDIENTE VERIFICACION,SEGÚN PVP
654825,COLIROFTA CICLOPEJICO 1 % 10ML,Alcon Healthcare S.A.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,S01F,PENDIENTE VERIFICACION,SEGÚN PVP
653486,COLIROFTA TROPICAMIDA 1% 5 ML,Alcon Healthcare S.A.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,S01F,PENDIENTE VERIFICACION,SEGÚN PVP
156171,COLLARIN BLANDO ADULTOS,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
176858,COLNATUR COMPLEX NEUTRO 324 GR,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
184728,COLNATUR COMPLEX VAIN GOU330G,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
COLFEM51,COLONIA 212VIP CAROLINA HERRERA 100ML,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
COLFEM36,COLONIA AGUA DE LOEWE 100ML,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
COLMAS28,COLONIA AGUA DI GIO 100ML,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
COLFEM29,"COLONIA AMOR, AMOR DE CACHAREL 100ML",PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
COLFEM49,COLONIA ARMANI CODE 100ML,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
COLMAS02,COLONIA BULGARY 100ML,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
COLMAS06,COLONIA CAROLINA HERRERA 100ML,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
COLMAS04,COLONIA CH212 DE CAROLINA HERRERA 100ML,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
COLFEM43,COLONIA CHANNEL N�5 100ML,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
COLFEM46,COLONIA EAU DE COURREGES 100ML,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
COLFEM31,COLONIA EAU DE ROCHAS 100ML,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
COLFEM14,COLONIA HALOWEEN DE JESUS DEL POZO 100ML,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
COLMAS16,COLONIA HUGO BOSS HOMBRE 100ML,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
